name,location,state,type,tuition,room_and_board,acceptance_rate,rating,size,rank,fees_by_income
University of Washington,Seattle,WA,Public Research,11465,13485,70,4.5,large,58,"{""0-30000"":4000,""30001-48000"":6000,""48001-75000"":9000,""75001-110000"":15000,""110001+"":24950}"
Stanford University,Stanford,CA,Private Research,56169,17255,5,4.8,medium,3,"{""0-30000"":5000,""30001-48000"":7500,""48001-75000"":12000,""75001-110000"":20000,""110001+"":73424}"
MIT,Cambridge,MA,Private Research,55510,16390,7,4.9,medium,4,"{""0-30000"":4500,""30001-48000"":7000,""48001-75000"":11000,""75001-110000"":19000,""110001+"":71900}"
Harvard University,Cambridge,MA,Private Research,54002,18598,5,4.8,medium,2,"{""0-30000"":4800,""30001-48000"":7200,""48001-75000"":11500,""75001-110000"":19500,""110001+"":72600}"
University of California Berkeley,Berkeley,CA,Public Research,14226,17952,16,4.7,large,22,"{""0-30000"":4200,""30001-48000"":6500,""48001-75000"":9500,""75001-110000"":16000,""110001+"":28700}"
University of Michigan,Ann Arbor,MI,Public Research,15940,12034,23,4.6,large,24,"{""0-30000"":4100,""30001-48000"":6300,""48001-75000"":9300,""75001-110000"":15500,""110001+"":27900}"
California Institute of Technology,Pasadena,CA,Private Research,58680,17337,7,4.9,small,9,"{""0-30000"":4700,""30001-48000"":7100,""48001-75000"":11200,""75001-110000"":19200,""110001+"":76000}"
Georgia Institute of Technology,Atlanta,GA,Public Research,12682,11896,21,4.5,large,35,"{""0-30000"":3900,""30001-48000"":5800,""48001-75000"":8800,""75001-110000"":14500,""110001+"":24500}"
University of Texas at Austin,Austin,TX,Public Research,11248,12600,32,4.4,large,42,"{""0-30000"":3800,""30001-48000"":5700,""48001-75000"":8600,""75001-110000"":14000,""110001+"":23800}"
University of Illinois Urbana-Champaign,Champaign,IL,Public Research,16862,12252,59,4.4,large,47,"{""0-30000"":3850,""30001-48000"":5750,""48001-75000"":8700,""75001-110000"":14200,""110001+"":24000}"